#     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt
#
 0.10000E+02   0.85851E-01   0.43709E+00   0.17795E+01   0.12269E-01   0.29719E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.87138E-01   0.43401E+00   0.17772E+01   0.12028E-01   0.29043E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.88444E-01   0.43087E+00   0.17748E+01   0.11782E-01   0.28370E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.89770E-01   0.42768E+00   0.17725E+01   0.11531E-01   0.27700E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.91116E-01   0.42444E+00   0.17701E+01   0.11277E-01   0.27033E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.92482E-01   0.42114E+00   0.17677E+01   0.11019E-01   0.26369E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.93868E-01   0.41779E+00   0.17653E+01   0.10758E-01   0.25710E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.95275E-01   0.41439E+00   0.17629E+01   0.10495E-01   0.25055E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.96704E-01   0.41093E+00   0.17605E+01   0.10230E-01   0.24404E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.98153E-01   0.40743E+00   0.17580E+01   0.99637E-02   0.23758E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.99625E-01   0.40388E+00   0.17556E+01   0.96969E-02   0.23117E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10112E+00   0.40028E+00   0.17531E+01   0.94300E-02   0.22481E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10263E+00   0.39664E+00   0.17506E+01   0.91635E-02   0.21851E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10417E+00   0.39296E+00   0.17481E+01   0.88980E-02   0.21227E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10573E+00   0.38923E+00   0.17455E+01   0.86339E-02   0.20610E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10732E+00   0.38547E+00   0.17430E+01   0.83718E-02   0.19998E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10893E+00   0.38167E+00   0.17404E+01   0.81122E-02   0.19394E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11056E+00   0.37783E+00   0.17378E+01   0.78555E-02   0.18796E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11222E+00   0.37395E+00   0.17351E+01   0.76023E-02   0.18206E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11390E+00   0.37004E+00   0.17324E+01   0.73530E-02   0.17623E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11561E+00   0.36610E+00   0.17298E+01   0.71079E-02   0.17048E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11734E+00   0.36213E+00   0.17270E+01   0.68676E-02   0.16481E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11910E+00   0.35813E+00   0.17243E+01   0.66324E-02   0.15923E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12089E+00   0.35410E+00   0.17215E+01   0.64027E-02   0.15373E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12270E+00   0.35003E+00   0.17186E+01   0.61787E-02   0.14832E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12454E+00   0.34594E+00   0.17157E+01   0.59608E-02   0.14300E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12640E+00   0.34181E+00   0.17128E+01   0.57494E-02   0.13777E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12830E+00   0.33766E+00   0.17098E+01   0.55446E-02   0.13263E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13022E+00   0.33348E+00   0.17068E+01   0.53466E-02   0.12760E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13217E+00   0.32926E+00   0.17038E+01   0.51557E-02   0.12266E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13416E+00   0.32501E+00   0.17006E+01   0.49720E-02   0.11781E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13617E+00   0.32073E+00   0.16975E+01   0.47957E-02   0.11308E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13821E+00   0.31641E+00   0.16942E+01   0.46269E-02   0.10844E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14028E+00   0.31205E+00   0.16909E+01   0.44657E-02   0.10391E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14238E+00   0.30766E+00   0.16876E+01   0.43120E-02   0.99483E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14452E+00   0.30324E+00   0.16842E+01   0.41659E-02   0.95164E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14668E+00   0.29877E+00   0.16807E+01   0.40275E-02   0.90952E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14888E+00   0.29426E+00   0.16771E+01   0.38967E-02   0.86849E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.15111E+00   0.28971E+00   0.16735E+01   0.37733E-02   0.82855E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.15338E+00   0.28511E+00   0.16698E+01   0.36574E-02   0.78972E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.15568E+00   0.28047E+00   0.16660E+01   0.35487E-02   0.75198E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.15801E+00   0.27579E+00   0.16622E+01   0.34472E-02   0.71535E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.16038E+00   0.27106E+00   0.16583E+01   0.33527E-02   0.67983E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
