     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt
 0.10000E+02   0.85851E-01   0.10381E+01   0.35047E+00   0.40902E+00   0.55436E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.87138E-01   0.10290E+01   0.35033E+00   0.40671E+00   0.54519E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.88444E-01   0.10197E+01   0.35018E+00   0.40437E+00   0.53656E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.89770E-01   0.10103E+01   0.35002E+00   0.40197E+00   0.52834E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.91116E-01   0.10007E+01   0.34985E+00   0.39953E+00   0.52041E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.92482E-01   0.99100E+00   0.34966E+00   0.39705E+00   0.51268E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.93868E-01   0.98117E+00   0.34946E+00   0.39452E+00   0.50505E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.95275E-01   0.97122E+00   0.34925E+00   0.39194E+00   0.49743E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.96704E-01   0.96115E+00   0.34902E+00   0.38931E+00   0.48974E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.98153E-01   0.95097E+00   0.34878E+00   0.38664E+00   0.48190E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.99625E-01   0.94067E+00   0.34853E+00   0.38392E+00   0.47387E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10112E+00   0.93027E+00   0.34826E+00   0.38115E+00   0.46559E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10263E+00   0.91977E+00   0.34798E+00   0.37833E+00   0.45701E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10417E+00   0.90917E+00   0.34769E+00   0.37546E+00   0.44811E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10573E+00   0.89848E+00   0.34738E+00   0.37255E+00   0.43888E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10732E+00   0.88770E+00   0.34705E+00   0.36958E+00   0.42928E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10893E+00   0.87685E+00   0.34671E+00   0.36657E+00   0.41933E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11056E+00   0.86592E+00   0.34636E+00   0.36350E+00   0.40902E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11222E+00   0.85492E+00   0.34599E+00   0.36039E+00   0.39837E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11390E+00   0.84385E+00   0.34560E+00   0.35723E+00   0.38739E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11561E+00   0.83273E+00   0.34520E+00   0.35402E+00   0.37611E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11734E+00   0.82155E+00   0.34479E+00   0.35076E+00   0.36456E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
