#     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt
#
 0.10000E+02   0.85851E-01   0.10205E+01   0.34914E+00   0.39777E+00   0.59818E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.87138E-01   0.10116E+01   0.34897E+00   0.39560E+00   0.58817E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.88444E-01   0.10026E+01   0.34880E+00   0.39340E+00   0.57808E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.89770E-01   0.99346E+00   0.34862E+00   0.39116E+00   0.56793E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.91116E-01   0.98419E+00   0.34844E+00   0.38888E+00   0.55770E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.92482E-01   0.97479E+00   0.34825E+00   0.38656E+00   0.54741E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.93868E-01   0.96528E+00   0.34805E+00   0.38419E+00   0.53707E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.95275E-01   0.95565E+00   0.34785E+00   0.38179E+00   0.52668E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.96704E-01   0.94590E+00   0.34763E+00   0.37934E+00   0.51625E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.98153E-01   0.93605E+00   0.34741E+00   0.37685E+00   0.50578E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.99625E-01   0.92610E+00   0.34717E+00   0.37431E+00   0.49527E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10112E+00   0.91606E+00   0.34693E+00   0.37173E+00   0.48475E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10263E+00   0.90592E+00   0.34668E+00   0.36911E+00   0.47420E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10417E+00   0.89569E+00   0.34641E+00   0.36644E+00   0.46364E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10573E+00   0.88539E+00   0.34614E+00   0.36372E+00   0.45308E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10732E+00   0.87500E+00   0.34585E+00   0.36096E+00   0.44253E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10893E+00   0.86455E+00   0.34555E+00   0.35816E+00   0.43198E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11056E+00   0.85403E+00   0.34524E+00   0.35530E+00   0.42145E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11222E+00   0.84344E+00   0.34491E+00   0.35240E+00   0.41094E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11390E+00   0.83281E+00   0.34457E+00   0.34946E+00   0.40047E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11561E+00   0.82212E+00   0.34422E+00   0.34647E+00   0.39003E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11734E+00   0.81138E+00   0.34385E+00   0.34343E+00   0.37964E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11910E+00   0.80061E+00   0.34347E+00   0.34035E+00   0.36931E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12089E+00   0.78980E+00   0.34308E+00   0.33722E+00   0.35903E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12270E+00   0.77896E+00   0.34266E+00   0.33404E+00   0.34882E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12454E+00   0.76810E+00   0.34224E+00   0.33082E+00   0.33869E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12640E+00   0.75722E+00   0.34179E+00   0.32755E+00   0.32864E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12830E+00   0.74632E+00   0.34134E+00   0.32423E+00   0.31867E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13022E+00   0.73542E+00   0.34086E+00   0.32087E+00   0.30880E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13217E+00   0.72452E+00   0.34037E+00   0.31747E+00   0.29904E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13416E+00   0.71362E+00   0.33986E+00   0.31402E+00   0.28938E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13617E+00   0.70273E+00   0.33933E+00   0.31053E+00   0.27983E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13821E+00   0.69186E+00   0.33879E+00   0.30699E+00   0.27041E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14028E+00   0.68100E+00   0.33823E+00   0.30341E+00   0.26111E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14238E+00   0.67017E+00   0.33765E+00   0.29979E+00   0.25195E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14452E+00   0.65936E+00   0.33705E+00   0.29612E+00   0.24292E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14668E+00   0.64859E+00   0.33643E+00   0.29242E+00   0.23404E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14888E+00   0.63786E+00   0.33579E+00   0.28867E+00   0.22530E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.15111E+00   0.62718E+00   0.33514E+00   0.28489E+00   0.21672E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.15338E+00   0.61654E+00   0.33446E+00   0.28107E+00   0.20830E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.15568E+00   0.60596E+00   0.33376E+00   0.27721E+00   0.20003E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
