     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt
 0.10000E+02   0.85851E-01   0.43094E+00   0.17743E+01   0.12136E-01   0.90953E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.87138E-01   0.42796E+00   0.17723E+01   0.11925E-01   0.89395E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.88444E-01   0.42493E+00   0.17702E+01   0.11710E-01   0.87870E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.89770E-01   0.42184E+00   0.17682E+01   0.11491E-01   0.86375E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.91116E-01   0.41869E+00   0.17661E+01   0.11267E-01   0.84909E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.92482E-01   0.41550E+00   0.17641E+01   0.11041E-01   0.83469E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.93868E-01   0.41225E+00   0.17620E+01   0.10810E-01   0.82056E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.95275E-01   0.40896E+00   0.17598E+01   0.10576E-01   0.80666E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.96704E-01   0.40562E+00   0.17577E+01   0.10339E-01   0.79299E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.98153E-01   0.40224E+00   0.17555E+01   0.10100E-01   0.77952E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.99625E-01   0.39881E+00   0.17534E+01   0.98576E-02   0.76624E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10112E+00   0.39535E+00   0.17511E+01   0.96136E-02   0.75313E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10263E+00   0.39184E+00   0.17489E+01   0.93683E-02   0.74018E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10417E+00   0.38830E+00   0.17466E+01   0.91219E-02   0.72738E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10573E+00   0.38472E+00   0.17443E+01   0.88751E-02   0.71470E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10732E+00   0.38111E+00   0.17420E+01   0.86283E-02   0.70213E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.10893E+00   0.37746E+00   0.17396E+01   0.83820E-02   0.68967E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11056E+00   0.37377E+00   0.17372E+01   0.81369E-02   0.67729E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11222E+00   0.37005E+00   0.17348E+01   0.78933E-02   0.66499E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11390E+00   0.36630E+00   0.17323E+01   0.76520E-02   0.65275E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
